Legend,Quartz,Plagioclase,Orthoclase,Muscovite,Biotite,Chlorite,Apatite,Pyroxene/Amphibole,Garnet,Epidote,Tourmaline,Other Silicates,Zircon,Titanite,Rutile,Ilmenite,Chromite,Fe oxides,Other oxides,Sulfides,Sulfates,Olivene,Other REE Minerals,Carbonates,Clay Minerals,Other Minerals,[Unclassified],Biotite-Ti,Clinochlore,Ankerite+clay
CC-17-1 - Liberation analysis #1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clay Minerals,8.70,9.28,4.61,7.09,12.96,5.79,5.47,2.05,2.67,10.04,6.17,12.59,3.87,8.66,8.02,8.17,50.00,1.63,1.76,0.00,5.49,1.19,4.63,0.00,----,0.00,5.57,4.29,12.68,0.00
Other Minerals,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,----,0.00,0.00,0.00,0.00
Biotite-Ti,4.51,3.27,2.54,1.50,4.89,9.04,0.41,2.01,9.08,6.94,8.78,5.44,2.15,3.65,0.99,2.53,0.00,12.67,2.95,0.00,6.56,10.06,4.74,0.00,1.17,0.00,4.41,----,9.12,0.00
Clinochlore,0.06,0.15,0.04,0.08,0.05,0.69,0.00,0.00,0.23,0.23,0.04,0.04,0.00,0.73,0.12,0.02,0.00,0.03,0.00,0.00,0.02,0.00,0.08,0.00,0.06,0.00,0.03,0.25,----,0.00
Ankerite+clay,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,----
[Unclassified],6.74,6.20,4.43,4.23,3.24,3.32,6.19,38.92,11.00,6.59,11.40,9.55,17.02,5.52,3.72,4.55,0.00,9.23,28.49,5.82,5.17,8.86,19.12,0.00,5.10,0.00,----,7.24,3.30,10.00
Free particles,1.27,2.76,0.73,1.01,2.20,1.43,30.67,7.79,1.59,11.47,3.23,5.81,0.91,8.54,1.82,2.46,0.00,1.71,19.70,6.42,5.21,1.01,2.48,7.77,12.89,0.00,9.02,2.24,3.85,0.00
Total,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
MN-16-04 - Liberation analysis #1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quartz,----,12.08,11.57,18.77,12.79,4.40,1.71,11.39,7.77,31.04,4.15,2.34,4.26,1.83,13.03,5.20,0.47,6.40,1.49,0.00,5.91,0.00,12.99,22.64,11.75,56.27,3.61,11.49,1.67,0.00
Plagioclase,7.76,----,30.05,14.25,3.48,1.17,1.10,5.04,0.85,0.18,4.91,0.00,0.76,2.32,2.70,0.63,0.00,0.00,0.00,0.00,23.64,0.00,0.05,0.00,7.84,0.00,1.97,0.69,0.00,0.00
Orthoclase,5.31,11.42,----,10.92,4.18,0.11,0.03,0.81,0.12,0.07,0.00,0.00,1.09,0.11,2.56,0.24,0.00,0.95,0.00,0.00,0.00,0.00,0.00,0.00,2.33,0.00,0.88,2.53,0.00,0.00
Muscovite,1.89,12.43,2.60,----,12.61,3.59,0.12,0.00,1.24,0.23,0.00,0.00,0.01,0.10,3.04,0.49,0.93,0.07,0.00,0.00,0.12,0.00,0.09,0.00,2.07,0.00,1.38,11.73,0.00,0.00
Biotite,3.08,1.46,1.96,11.38,----,6.27,0.70,7.59,3.21,0.07,1.75,0.00,1.69,5.02,3.57,4.59,0.00,0.65,0.00,0.00,21.22,0.00,1.35,0.00,6.46,0.00,1.10,21.08,2.50,0.00
Chlorite,0.25,0.22,0.10,3.92,4.97,----,0.09,1.23,9.88,0.00,0.21,2.67,0.07,0.02,0.24,0.62,0.00,5.57,0.10,0.00,0.00,34.52,0.01,3.69,5.59,0.00,3.30,6.87,7.50,0.00
Apatite,1.32,1.06,0.10,3.04,0.48,0.31,----,7.27,0.97,6.15,0.00,29.46,3.72,1.16,0.53,2.22,0.00,0.00,0.63,0.00,0.00,0.00,7.41,11.99,4.40,0.00,3.03,0.04,0.00,0.00
Pyroxene/Amphibole,0.10,0.04,0.03,0.00,0.27,0.01,0.65,----,0.14,0.14,0.00,0.00,0.00,0.76,0.21,0.15,0.00,0.00,0.00,0.00,0.37,0.00,0.00,0.00,0.31,0.00,0.06,0.18,0.00,6.25
Garnet,0.99,0.61,0.15,4.40,3.38,22.53,0.92,1.04,----,0.41,3.27,1.38,1.29,2.92,0.03,0.87,1.40,5.60,0.42,0.88,0.00,48.16,1.46,1.67,5.43,0.00,12.12,18.27,16.33,0.00
Epidote,0.05,0.15,0.01,0.25,0.03,0.00,0.59,0.49,0.21,----,0.00,0.00,0.00,0.08,0.01,0.05,0.00,0.00,0.00,0.00,0.00,0.00,1.09,0.00,0.20,0.00,0.30,0.00,0.00,0.00
Tourmaline,0.03,0.09,0.00,0.00,0.04,0.03,0.00,0.00,0.17,0.00,----,0.56,0.00,0.00,0.08,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.93,0.00,0.34,0.26,0.00,0.00
Other Silicates,0.29,0.00,0.00,0.00,0.00,0.25,1.82,0.00,0.00,0.00,0.12,----,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.24,0.04,0.00,0.00
Zircon,1.52,0.51,0.23,0.05,0.67,0.15,2.25,0.00,0.99,0.00,0.00,0.00,----,1.99,0.09,1.23,0.00,0.73,0.00,0.00,1.64,0.00,1.70,0.00,3.80,0.00,22.25,0.21,0.00,0.00
Titanite,0.09,0.28,0.25,0.14,3.95,0.02,0.20,10.44,0.50,0.40,0.00,0.00,0.20,----,5.17,2.14,0.00,0.58,1.46,0.00,0.00,0.00,0.71,1.22,5.56,0.00,1.31,0.05,0.00,0.00
Rutile,1.56,0.50,1.12,3.97,3.34,0.02,0.66,9.40,0.06,0.05,0.33,0.00,0.60,31.12,----,19.77,0.93,0.93,1.37,0.00,5.58,0.00,0.69,1.87,10.70,0.00,1.90,0.23,3.64,0.00
Ilmenite,4.59,2.27,1.34,5.12,22.21,5.26,6.84,31.56,4.49,1.11,33.41,13.77,6.42,7.76,43.04,----,0.93,38.83,68.27,5.28,0.63,0.00,3.70,6.22,18.18,0.00,13.07,1.79,49.70,87.50
Chromite,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.41,0.05,----,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.00,3.75,0.00
Fe oxides,1.81,0.00,0.05,0.01,0.07,0.83,0.00,0.00,0.49,0.00,0.00,0.00,0.04,0.66,0.05,0.95,0.00,----,2.64,24.63,0.00,2.04,0.00,0.00,0.27,0.00,0.59,1.88,0.00,0.00
Other oxides,0.01,0.00,0.00,0.00,0.00,0.02,0.08,0.00,0.22,0.00,0.00,0.00,0.00,1.30,0.08,5.56,0.00,5.90,----,0.00,0.00,0.00,4.35,0.00,0.44,0.00,0.36,0.00,0.00,0.00
Sulfides,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,6.76,0.00,----,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00
Sulfates,0.13,0.15,0.00,0.01,0.15,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.13,0.00,0.19,0.02,0.00,0.00,0.00,0.00,----,0.00,0.00,0.00,0.00,0.00,0.79,0.07,0.00,0.00
Olivene,0.00,0.00,0.00,0.00,0.00,2.23,0.00,0.00,0.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.08,0.00,0.00,0.00,----,0.00,0.00,0.00,0.00,0.10,0.34,0.00,0.00
Other REE Minerals,0.75,0.03,0.00,0.01,0.12,0.00,1.07,0.00,0.11,1.59,0.00,0.00,0.54,0.89,0.48,0.18,0.00,0.00,3.55,0.00,0.00,0.00,----,1.34,0.04,0.00,3.63,0.00,0.00,0.00
Carbonates,0.00,0.00,0.00,0.00,0.00,0.41,0.49,0.00,0.06,0.00,0.00,0.00,0.00,0.01,0.16,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.77,----,0.01,0.00,0.20,0.00,0.00,0.00
Clay Minerals,1.55,2.29,0.28,2.57,5.51,3.40,0.52,3.36,1.62,0.84,23.27,0.29,0.65,1.66,2.99,1.83,0.00,0.28,0.34,0.00,0.00,0.00,0.22,1.16,----,0.00,1.04,4.95,0.00,0.00
Other Minerals,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,----,0.00,0.00,0.00,0.00
Biotite-Ti,0.95,0.08,0.47,6.50,8.58,8.58,0.29,2.27,8.97,0.00,2.85,1.30,0.04,0.46,0.15,0.84,0.00,2.64,0.08,2.64,9.14,7.72,0.00,0.00,5.61,0.00,2.61,----,0.00,0.00
Clinochlore,0.01,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.01,0.07,0.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,----,6.25
Ankerite+clay,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50,----
[Unclassified],2.05,7.71,2.19,1.15,1.82,7.78,4.30,0.82,10.44,40.28,12.38,4.82,32.70,9.66,2.78,2.84,6.98,4.16,2.58,0.00,30.55,1.87,33.05,7.15,1.39,0.00,----,3.94,12.42,0.00
Free particles,63.79,46.64,47.50,13.45,11.34,32.63,75.58,6.79,46.51,17.47,13.36,43.40,45.80,30.17,18.43,49.24,87.91,17.86,17.06,66.58,1.21,5.69,30.38,41.04,2.68,43.73,23.54,13.33,0.00,0.00
Total,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
MN-16-05 - Liberation analysis #1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quartz,----,12.32,9.78,9.03,14.51,9.76,4.09,12.35,15.98,17.37,13.74,5.98,5.29,4.70,5.74,5.25,0.00,11.04,5.19,0.00,0.00,17.91,1.11,1.64,6.13,0.00,9.44,9.88,6.14,7.06
Plagioclase,23.79,----,47.30,42.75,14.88,16.55,8.91,2.89,6.42,20.24,13.16,16.75,0.37,13.41,8.06,11.43,0.00,6.64,2.05,12.33,0.00,14.70,4.13,11.65,41.04,0.00,14.19,10.69,19.59,13.32
Orthoclase,4.05,10.51,----,3.92,2.61,0.26,1.11,0.28,1.43,1.27,0.00,2.67,1.88,2.82,1.34,1.25,0.00,1.20,0.61,0.00,0.00,2.72,0.43,1.85,0.59,0.00,2.02,1.98,0.39,2.23
Muscovite,1.00,4.07,1.44,----,1.60,0.31,0.05,0.04,0.13,1.12,1.27,0.00,0.00,0.46,1.90,0.23,0.00,0.00,0.00,0.00,0.00,0.18,0.39,0.00,1.45,0.00,0.32,0.72,1.22,0.10
Biotite,1.69,0.99,1.01,1.20,----,0.45,0.68,2.47,1.42,1.24,0.67,0.45,0.02,0.53,0.94,1.84,0.00,1.12,0.46,0.00,0.00,1.21,0.03,0.00,1.09,0.00,0.57,1.88,0.99,1.74
Chlorite,0.98,1.22,0.24,0.39,1.72,----,0.62,0.66,1.30,0.84,5.34,2.89,0.42,0.39,4.53,0.89,0.00,0.91,0.00,8.32,0.00,3.57,0.00,0.00,2.43,0.00,0.69,4.40,3.98,0.52
Apatite,0.30,0.85,0.34,0.26,0.91,0.40,----,1.03,0.07,1.59,0.00,18.28,11.53,3.79,0.67,1.09,0.00,1.91,0.18,0.00,0.00,0.00,0.17,31.42,0.36,0.00,1.22,1.91,0.64,1.12
Pyroxene/Amphibole,2.64,0.88,0.46,0.16,5.28,1.81,0.93,----,0.97,0.79,0.00,1.17,3.16,1.79,1.36,0.98,22.22,0.90,1.15,0.00,0.00,4.65,0.00,0.00,2.31,0.00,1.87,10.38,4.43,1.38
Garnet,1.13,1.42,0.20,0.24,0.69,11.45,0.74,0.72,----,1.39,6.69,0.06,0.05,0.36,1.17,0.28,0.00,0.64,0.25,0.00,0.00,2.57,0.07,1.29,1.10,0.00,2.18,2.99,4.02,0.64
Epidote,28.61,20.81,6.85,23.82,14.41,10.14,8.76,2.66,6.87,----,38.38,6.04,6.42,6.17,4.20,2.94,22.22,3.25,1.78,74.85,0.00,7.00,0.89,20.37,20.17,0.00,12.90,12.25,20.10,11.06
Tourmaline,0.15,0.34,0.00,0.10,0.07,0.45,0.00,0.00,0.04,0.59,----,0.00,0.00,0.02,0.07,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.03,0.09,0.98,0.00
Other Silicates,0.09,0.05,0.04,0.00,0.02,0.06,0.86,0.01,0.02,0.03,0.00,----,1.18,0.05,0.02,0.09,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.04,0.09,0.00,0.12
Zircon,0.08,0.07,0.05,0.00,0.06,0.12,0.61,0.01,0.20,0.36,0.00,1.04,----,1.12,0.10,0.09,0.00,2.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.76,0.05,0.00,0.13
Titanite,6.67,9.53,10.16,4.03,5.69,7.40,1.87,2.45,1.04,3.20,1.46,12.54,3.04,----,31.88,38.03,0.00,2.73,3.69,0.00,0.00,1.36,1.79,5.19,4.95,0.00,9.26,4.60,8.56,15.69
Rutile,2.76,3.25,3.29,5.32,2.63,6.83,0.81,0.71,0.76,1.38,6.56,2.50,0.04,12.02,----,13.25,0.00,2.02,2.54,0.00,0.00,1.34,1.83,2.49,2.83,0.00,2.72,1.99,4.02,5.33
Ilmenite,5.37,8.44,5.55,2.55,14.39,7.06,2.73,2.50,1.27,1.61,0.87,15.26,1.91,27.55,18.89,----,0.00,2.76,8.94,0.00,0.00,1.45,6.84,8.50,4.58,0.00,7.79,3.44,6.42,32.44
Chromite,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,----,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Fe oxides,2.81,0.97,1.12,0.03,2.45,0.76,1.47,0.78,1.23,0.87,0.00,0.47,2.18,0.86,1.89,2.15,0.00,----,26.81,0.00,0.00,20.53,0.20,0.00,1.92,100.00,18.44,4.85,0.24,0.65
Other oxides,0.17,0.06,0.07,0.00,0.12,0.00,0.27,0.03,0.24,0.14,0.00,0.00,0.00,0.67,1.41,1.64,0.00,3.60,----,0.00,0.00,0.42,0.06,0.00,0.03,0.00,2.36,0.48,0.00,0.26
Sulfides,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,----,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sulfates,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,----,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Olivene,0.25,0.27,0.03,0.01,0.09,0.17,0.00,0.09,0.36,0.02,0.00,0.00,0.00,0.01,0.02,0.01,0.00,1.39,0.03,0.00,0.00,----,0.00,0.00,0.10,0.00,0.61,0.17,0.00,0.01
Other REE Minerals,0.05,0.02,0.04,0.16,0.03,0.00,1.05,0.00,0.00,0.05,0.00,0.00,0.00,0.04,0.08,0.16,0.00,0.00,0.05,0.00,0.00,0.00,----,0.00,0.01,0.00,0.04,0.00,0.00,0.01
Carbonates,0.01,0.03,0.01,0.00,0.00,0.00,2.26,0.00,0.31,0.12,0.00,0.00,0.00,0.11,0.01,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,----,0.00,0.00,0.00,0.00,0.05,0.00
Clay Minerals,2.65,4.02,1.02,1.16,5.40,3.93,2.26,10.28,1.09,1.48,2.56,6.23,0.00,1.64,2.82,1.96,0.00,2.33,0.76,0.00,0.00,0.54,15.79,0.00,----,0.00,1.34,9.51,8.21,1.54
Other Minerals,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,----,0.00,0.00,0.00,0.00
Biotite-Ti,1.69,1.44,0.63,0.46,2.54,3.03,2.41,17.40,10.93,1.50,1.32,1.11,0.25,1.15,1.67,1.18,0.00,2.93,3.39,0.00,0.00,3.88,0.00,0.00,1.50,0.00,1.72,----,3.63,0.72
Clinochlore,0.43,0.99,0.09,0.29,0.56,1.41,0.36,4.91,0.15,0.80,2.20,0.00,0.00,0.46,0.55,0.75,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.59,2.26,0.00,0.18,0.67,----,0.31
Ankerite+clay,0.36,0.47,0.51,0.04,0.77,0.12,0.12,0.09,0.05,0.47,0.00,0.27,0.03,0.36,0.36,1.15,0.00,0.05,0.04,0.00,0.00,0.09,0.01,0.00,0.08,0.00,0.35,0.27,0.84,----
[Unclassified],5.46,7.43,4.23,2.53,2.35,7.55,7.60,7.04,25.96,10.40,1.76,2.93,41.05,9.45,2.82,4.14,0.00,41.35,25.70,0.00,0.00,15.53,51.39,0.00,3.89,0.00,----,3.80,2.18,2.75
Free particles,6.82,9.54,5.53,1.57,6.21,9.98,49.45,30.57,21.74,31.10,4.03,3.35,21.18,10.07,7.49,9.19,55.56,10.86,16.37,4.50,0.00,0.36,14.85,15.00,0.87,0.00,8.94,12.90,3.37,0.88
Total,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
MN-16-06 - Liberation analysis #1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quartz,----,13.45,16.49,18.66,17.60,14.82,3.96,23.27,13.48,15.89,16.58,15.74,6.11,1.87,9.35,2.62,0.00,18.74,1.53,0.00,0.00,21.58,10.23,7.19,15.06,9.64,11.31,17.57,7.98,3.35
Plagioclase,9.79,----,24.35,22.22,7.16,8.52,2.07,3.95,4.41,5.46,10.97,9.59,1.82,1.98,3.21,1.49,0.00,8.51,1.16,0.00,0.00,7.00,3.86,6.96,11.79,0.00,7.58,8.56,9.65,3.03
Orthoclase,7.06,10.40,----,7.93,5.85,1.88,1.11,2.83,1.26,0.44,1.46,2.11,4.77,1.21,2.51,0.11,0.00,3.96,0.36,0.00,0.00,2.22,4.07,1.42,2.35,0.00,2.36,3.30,2.45,0.57
Muscovite,2.19,5.30,2.58,----,2.26,0.75,0.14,0.52,0.26,0.34,0.34,0.49,0.66,0.35,1.75,0.34,0.00,0.92,0.16,0.00,0.00,0.56,0.26,0.40,2.58,0.00,1.05,1.42,0.13,0.11
Biotite,3.08,1.69,3.92,5.91,----,2.39,0.31,2.44,1.49,1.53,0.51,0.82,1.01,0.80,0.77,0.72,0.00,2.99,0.12,0.00,0.00,3.73,0.72,1.13,1.63,0.00,0.93,4.10,1.26,0.14
Chlorite,6.12,6.56,3.86,3.02,4.89,----,1.80,6.52,6.26,0.29,4.34,1.97,2.66,1.36,2.38,1.98,0.00,12.59,0.26,0.00,0.00,5.40,0.49,1.22,10.84,0.00,5.24,7.35,12.69,0.64
Apatite,0.80,0.54,0.50,0.28,0.33,1.12,----,0.84,0.37,0.55,0.60,0.96,7.02,3.03,1.30,0.74,0.00,1.00,0.27,5.28,0.00,0.20,2.00,0.63,1.19,0.00,0.53,0.88,0.79,2.24
Pyroxene/Amphibole,1.00,0.26,0.60,0.20,0.58,0.78,0.43,----,0.98,0.11,0.13,0.12,0.09,0.49,0.21,0.20,0.00,0.75,0.08,0.00,0.00,2.44,0.05,0.24,0.36,0.00,0.70,0.54,6.20,0.00
Garnet,2.51,4.02,1.34,0.99,2.67,4.12,1.25,2.95,----,2.56,5.07,3.22,0.56,0.58,0.81,0.40,0.00,3.76,0.22,0.00,0.00,2.81,0.54,5.06,3.35,0.00,4.73,6.12,2.18,2.13
Epidote,1.79,1.63,0.76,0.38,0.99,0.22,1.30,0.63,2.52,----,0.85,4.96,0.15,0.73,0.31,0.02,0.00,0.15,0.30,0.05,0.00,0.16,1.83,14.29,0.60,0.00,6.90,1.06,0.21,10.44
Tourmaline,1.01,1.87,0.96,0.64,0.33,1.56,0.54,0.54,0.66,1.24,----,5.88,0.47,0.38,0.83,0.42,0.00,2.25,0.10,0.00,0.00,0.89,0.43,0.88,1.62,6.43,1.15,1.14,2.06,0.45
Other Silicates,1.44,1.66,1.20,0.42,3.29,0.49,0.71,0.15,0.38,1.77,2.38,----,0.19,1.07,0.81,0.53,0.00,0.66,0.28,0.00,0.00,0.57,0.75,2.74,2.00,0.00,1.34,0.76,0.22,1.41
Zircon,0.32,0.20,0.22,0.17,0.51,0.24,0.44,0.06,1.20,0.24,0.08,0.22,----,0.41,0.33,0.34,0.00,0.22,0.23,1.70,0.00,0.02,1.72,0.14,0.02,0.00,0.99,0.22,0.32,0.00
Titanite,0.84,1.24,0.98,0.77,0.93,1.45,0.61,4.34,0.31,0.91,1.03,3.32,1.02,----,9.13,1.28,0.00,0.30,3.34,0.00,0.00,0.27,0.90,6.02,0.62,0.00,5.46,0.68,4.27,1.99
Rutile,6.95,4.95,5.31,10.15,4.26,4.88,3.82,5.03,0.70,0.55,6.17,6.91,1.74,40.26,----,59.24,0.00,3.58,55.19,0.00,0.00,1.33,2.54,16.09,4.40,0.00,7.39,4.86,8.73,1.10
Ilmenite,0.97,0.69,0.12,0.26,1.28,1.30,1.00,1.53,0.45,0.01,0.52,1.61,0.44,0.58,17.82,----,0.00,3.06,7.03,0.00,0.00,0.57,0.04,1.94,0.79,18.22,0.79,1.53,0.79,0.00
Chromite,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,----,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Fe oxides,15.46,11.07,13.21,7.71,16.54,25.65,3.80,18.88,4.10,0.22,9.72,5.48,1.07,0.89,3.42,6.57,0.00,----,3.96,87.78,0.00,32.17,4.94,1.27,22.62,0.00,13.02,18.12,13.54,0.94
Other oxides,0.27,0.25,0.29,0.31,0.20,0.16,0.16,0.52,0.60,0.14,0.09,0.55,0.92,2.21,12.45,5.11,0.00,1.17,----,0.00,0.00,0.03,2.08,2.90,0.08,0.00,1.32,0.28,0.00,0.00
Sulfides,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.00,0.00,0.00,0.14,0.00,----,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00
Sulfates,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,----,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Olivene,1.88,0.92,0.61,0.40,1.27,0.89,0.05,4.57,1.20,0.01,0.78,0.42,0.00,0.15,0.10,0.10,0.00,3.63,0.01,0.00,0.00,----,0.00,0.05,0.88,0.00,1.36,1.44,0.59,0.00
Other REE Minerals,0.16,0.07,0.10,0.21,0.12,0.06,0.42,0.09,0.12,1.02,0.01,0.44,0.31,0.29,0.32,0.02,0.00,0.02,0.16,0.00,0.00,0.00,----,0.44,0.06,0.00,0.31,0.12,0.07,0.21
Carbonates,6.77,6.71,3.85,1.95,5.90,2.67,9.25,3.61,3.89,26.45,2.64,12.50,1.06,14.01,15.30,5.96,0.00,1.14,12.56,0.15,0.00,0.38,5.68,----,2.33,14.57,15.64,4.54,5.05,47.60
Clay Minerals,5.52,6.60,4.71,7.07,6.10,7.19,2.32,3.48,2.11,2.27,9.89,4.53,1.67,1.66,4.92,0.69,0.00,4.48,0.46,0.00,0.00,2.10,4.16,2.34,----,6.43,3.09,4.46,9.57,1.07
Other Minerals,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,----,0.02,0.03,0.00,0.00
Biotite-Ti,5.38,4.06,3.89,3.74,8.90,5.24,1.94,3.69,9.86,1.85,2.82,2.33,0.57,0.53,1.76,1.25,0.00,7.61,0.77,0.00,0.00,6.69,0.81,2.43,4.13,27.92,3.15,----,3.24,0.37
Clinochlore,0.13,0.24,0.18,0.07,0.07,0.47,0.16,0.49,0.03,0.01,0.13,0.03,0.13,0.09,0.14,0.02,0.00,0.31,0.00,0.00,0.00,0.16,0.01,0.17,0.20,0.00,0.14,0.16,----,0.00
Ankerite+clay,0.12,0.12,0.03,0.04,0.03,0.10,0.05,0.00,0.05,1.78,0.10,0.22,0.00,0.20,0.02,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.13,1.63,0.07,0.00,0.64,0.04,0.00,----
[Unclassified],10.75,10.81,7.19,5.31,4.35,9.92,7.22,8.86,32.07,22.38,10.37,15.01,38.57,14.59,6.77,2.50,0.00,15.54,8.05,4.63,0.00,8.65,23.21,20.45,9.19,16.80,----,7.82,4.46,22.16
Free particles,7.70,4.67,2.71,1.21,3.58,3.13,54.63,0.23,11.25,12.01,12.40,0.57,26.80,10.29,3.27,7.20,100.00,2.49,3.40,0.41,0.00,0.09,28.55,1.96,1.21,0.00,2.87,2.88,3.55,0.03
Total,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
MN-16-07 - Liberation analysis #1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quartz,----,11.61,10.25,7.20,6.71,11.00,1.71,16.16,23.42,19.52,1.21,38.46,4.56,4.98,7.63,5.62,11.28,11.17,0.38,0.00,0.00,17.43,21.56,4.57,9.29,0.00,9.14,14.36,2.48,5.91
Plagioclase,18.76,----,40.53,44.18,6.49,5.38,1.14,4.02,5.17,22.75,3.75,1.72,3.65,4.76,2.94,2.71,0.00,2.89,0.85,0.00,0.00,2.88,4.00,0.50,23.92,0.00,6.96,6.80,10.58,2.50
Orthoclase,8.31,9.76,----,7.37,2.76,0.21,0.99,0.57,1.82,1.73,1.89,0.00,1.33,0.68,5.59,1.00,0.00,1.87,0.00,0.00,0.00,2.62,0.00,0.00,3.03,0.00,0.72,1.81,0.02,1.12
Muscovite,1.40,9.26,2.20,----,1.19,0.57,0.09,0.21,0.20,1.26,2.51,0.00,0.00,0.06,0.46,0.36,0.00,0.53,0.00,0.00,0.00,0.27,0.21,0.00,3.66,0.00,0.71,3.15,1.50,0.02
